case,file,col,qtype,ref_peak,R,Z,EP,EM,ES,R_h64,peak_diff,tol_b6,tol_src,band_arith_h64,band_ladder,band_ens,n_ens,band,step_h1_h8,step_h8_h64,arith_h1,arith_h8,flat,std_ratio,maxpt_diff,orig_in_ens,band_ens_p90,iso_ok,band_ok,passed
2696,t29,3,contact,52.25,1.0,1.0,1.0,1.0,1.0,0.9985454853560088,0.0,0.0,none,0.0,0.0,0.13110047846889955,93,0.13110047846889955,0.0,0.0,0.0,0.0,False,0.24031774571796163,0.0,True,0.10403827751196172,True,True,True
2696,t29,4,contact,124.75,1.0,1.0,1.0,1.0,1.0,0.9990424823424997,0.0,0.0,none,0.0,0.0003206412825651804,0.11679358717434864,93,0.11679358717434864,0.0003206412825651804,8.016032064132357e-05,0.0,0.0,False,0.251424043073095,0.0,True,0.08655711422845681,True,True,True
2696,t29,5,contact,152.493,0.9890802631447507,1.0,1.0,0.9883965399881744,0.9570047757355786,0.9823566145078786,0.006498658954837176,0.0,none,0.0,0.009292229807269852,0.7954004446105724,93,0.7954004446105724,0.008977461260516875,0.00031476854675297763,0.010492284891765673,0.0001442689172617193,False,0.4438339787244228,0.03086699061596266,True,0.5476474329969244,True,True,True
2696,t29,6,contact,43.078,0.9502468702779489,0.96286836070431,1.0,0.9457676975999312,0.8797299323811922,0.93334573019418,0.002901713171456428,0.0,none,0.0,0.00826407911230778,2.6292771252147267,93,2.6292771252147267,0.00826407911230778,0.006128418218115878,0.02657969265054095,9.285482148671916e-05,False,0.2803784198218527,0.18907563025210086,True,1.8037884767166523,True,True,True
2696,t29,7,contact,62.284,0.49582977057690675,0.46037846500658003,0.9583472175941353,0.0,0.6000447052772381,0.5347365516821957,0.0018784920685890009,0.0,none,0.0,0.0028899877978292936,1.7038565281613254,93,1.7038565281613254,0.0028899877978292936,0.0007867189005201896,0.006052918887675847,0.0,False,0.2898893478676922,0.507353413396699,True,1.315095369597327,False,True,False
2696,t29,8,contact,27.867,0.9887704471904677,1.0,1.0,0.9979294366520461,0.9459227993002914,0.9833731173085678,0.00010765421466250812,0.0,none,0.0,3.5884738220878535e-05,0.034987619765313734,93,0.034987619765313734,3.5884738220878535e-05,0.0,0.0007894642408583078,0.0,False,0.3339950814063686,0.03477231133598885,True,0.02388488175978748,True,True,True
2696,t29,9,contact,39.43,1.0,1.0,1.0,1.0,1.0,0.9998565840190345,0.0,0.0,none,0.0,0.0,0.16560994166877996,93,0.16560994166877996,0.0,0.0,0.0,0.0,False,0.2243491264548819,0.0,True,0.12234339335531316,True,True,True
2696,t29,10,contact,11.91,1.0,1.0,1.0,1.0,1.0,0.9998516814565236,0.0,0.0,none,0.0,0.0,0.5449202350965574,93,0.5449202350965574,0.0,0.0,0.0,0.0,False,0.17957101631115963,0.0,True,0.3905961376994122,True,True,True
2696,t29,11,contact,40.84,1.0,1.0,1.0,1.0,1.0,0.9998245102658625,0.0,0.0,none,0.0,0.0,0.143486777668952,93,0.143486777668952,0.0,0.0,0.0,0.0,False,0.2227301878439633,0.0,True,0.09529872673849174,True,True,True
2696,t29,12,contact,152.493,0.9890335493513835,1.0,1.0,0.988373249836039,0.9567944969208783,0.9823131647394727,0.006498658954837176,0.0,none,0.0,0.009292229807269852,0.7954004446105724,93,0.7954004446105724,0.008977461260516875,0.00031476854675297763,0.010492284891765673,0.0001442689172617193,False,0.44616043544982636,0.03086699061596266,True,0.5476474329969244,True,True,True
2696,t29,13,contact,40.383,0.9419109702866408,0.9577703633579602,1.0,0.9106807403536286,0.8833333843636549,0.9252165773738273,0.0018076913552732682,0.0,none,0.0,0.003739197186935003,2.694747789911596,93,2.694747789911596,0.003739197186935003,0.0016591139836069674,0.008939405195255533,0.0,False,0.2842657386083531,0.20169378203699573,True,1.824975856177104,True,True,True
2696,t29,14,contact,62.284,0.495135332941114,0.46037846500658003,0.9583472175941353,0.0,0.5965725170982743,0.5336323054277914,0.0018784920685890009,0.0,none,0.0,0.0028899877978292936,1.7038565281613254,93,1.7038565281613254,0.0028899877978292936,0.0007867189005201896,0.006052918887675847,0.0,False,0.28990806085356324,0.507353413396699,True,1.315095369597327,False,True,False
2696,t30,1,spring,1.933,1.0,1.0,1.0,1.0,1.0,0.9994673255401104,0.0,0.0,none,0.0,0.0,0.32074495602690123,93,0.32074495602690123,0.0,0.0,0.0,0.0,False,0.2453989075111125,0.0,True,0.28329022245214686,True,True,True
2696,t30,2,spring,51.03,0.9999985114557992,1.0,1.0,0.9999998260565844,0.9999927312224111,0.9996877413071318,0.0,0.0,none,0.0,0.0,0.400352733686067,93,0.400352733686067,0.0,0.0,0.0,0.0,False,0.2193663357356586,0.00019596315892608289,True,0.27928669410150897,True,True,True
2696,t30,3,spring,48.32,0.9999972738263294,1.0,1.0,0.9999998185552809,0.9999865505763654,0.9995593191093577,0.0,0.0,none,0.0,0.0,0.3207781456953642,93,0.3207781456953642,0.0,0.0,0.0,0.0,False,0.2454244679615447,0.00020695364238421183,True,0.28336092715231775,True,True,True
2696,t30,4,spring,19.33,1.0,1.0,1.0,1.0,1.0,0.9998645374286264,0.0,0.0,none,0.0,0.0,0.8737713398861874,93,0.8737713398861874,0.0,0.0,0.0,0.0,False,0.22764616137536245,0.0,True,0.5762027935851011,True,True,True
2696,t30,5,spring,1.825,1.0,1.0,1.0,1.0,1.0,0.9989501478824658,0.0,0.0,none,0.0,0.0,0.30630136986301365,93,0.30630136986301365,0.0,0.0,0.0,0.0,False,0.21170794141160187,0.0,True,0.21567123287671242,True,True,True
2696,t30,6,spring,53.47,0.999998371725422,1.0,1.0,0.9999997953537106,0.9999920632733986,0.9994714270912319,0.0,0.0,none,0.0,0.0,0.3039087338694595,93,0.3039087338694595,0.0,0.0,0.0,0.0,False,0.19108230069373472,0.00018702075930424557,True,0.22120815410510547,True,True,True
2696,t30,7,spring,45.62,0.9999972859101658,1.0,1.0,0.9999997889056405,0.9999866406451882,0.9991938045587163,0.0,0.0,none,0.0,0.00021920210434015806,0.30688294607628236,93,0.30688294607628236,0.00021920210434015806,0.0,0.0,0.0,False,0.2117339316374198,0.00021920210434023593,True,0.21565103024989027,True,True,True
2696,t30,8,spring,27.31,1.0,1.0,1.0,1.0,1.0,0.9997751339497057,0.0,0.0,none,0.0,0.0,0.4214573416331014,93,0.4214573416331014,0.0,0.0,0.0,0.0,False,0.19425661806237723,0.0,True,0.24335408275357004,True,True,True
2750,t21,1,lin_acc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,B.6,0.0,0.0,0.0,93,0.0,0.0,0.0,0.0,0.0,False,0.17676005248803447,0.0,True,0.0,True,True,True
2750,t21,4,lin_acc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,B.6,0.0,0.0,0.0,93,0.0,0.0,0.0,0.0,0.0,False,0.17676005248803447,0.0,True,0.0,True,True,True
2750,t21,5,lin_acc,44.678,0.9896254730430925,1.0,1.0,0.9731143849859978,0.9750129802294636,0.960895392911215,0.0,0.1,B.6,0.0,0.0020367966336898246,0.046779175433098986,93,0.046779175433098986,0.0020367966336898246,0.0,0.0,0.0,False,0.1162509805937153,0.04268319978512915,True,0.034307712968351195,True,True,True
2750,t21,6,lin_acc,12.938,0.9729077692449445,0.9996337972831021,1.0,0.9282983512282327,0.9369729004302858,0.938565522429821,0.0,0.1,B.6,0.0,0.0027052094605039528,0.13510588962745396,93,0.13510588962745396,0.0027052094605039528,0.0,0.0,0.0,False,0.0781114560311148,0.07064461276858865,True,0.10200958417066013,True,True,True
2750,t21,7,lin_acc,23.3,0.9866610812422305,0.9998097296059437,1.0,0.9759763951759161,0.9577095518233494,0.9496434813425267,0.003218884120171643,0.1,B.6,0.0,0.03330472103004291,0.8122746781115879,93,0.8122746781115879,0.03330472103004291,0.0,0.006180257510729695,0.0,False,0.12687504737111194,0.07214592274678111,True,0.5701888412017165,True,True,True
2750,t21,8,lin_acc,45.539,0.9916742505225989,1.0,1.0,0.9837030420523981,0.9746682105605957,0.9635024125117717,0.0,0.1,B.6,0.0,0.0018226135839609654,0.06115637146182385,93,0.06115637146182385,0.0018006543841542575,2.1959199806707862e-05,0.0,0.0,False,0.1188393212775209,0.04743187158259953,True,0.04666329958936281,True,True,True
2750,t21,9,lin_acc,68.385,0.9398084680576045,0.9803631730642758,1.0,0.8859646870283715,0.8523513071310993,0.919845458652064,0.0,0.1,B.6,0.0,0.0003802003363312197,0.42804708634934546,93,0.42804708634934546,0.0003802003363312197,1.4623089858957005e-05,0.0,0.0,False,0.11800394819566705,0.41760620019010014,True,0.3548672954595306,True,True,True
2750,t21,10,lin_acc,20.834,0.9060193577317943,0.977376923185387,1.0,0.7930758101144123,0.7822671321737846,0.8628058215732063,0.00019199385619666584,0.1,B.6,0.0,0.4662570797734472,2.9938561966017088,93,2.9938561966017088,0.4293462609196506,0.0369108188537966,0.31885379667850633,0.0,False,0.10058455247362834,0.43477008735720446,True,2.327992704233462,True,True,True
2750,t21,11,lin_acc,134.106,0.9266133460656951,0.9804819781233209,1.0,0.8731877627970456,0.7989150112847881,0.8952078724058206,0.0002759011528194573,0.1,B.6,0.0,0.018686710512579603,0.3358760980120204,93,0.3358760980120204,0.018686710512579603,7.456787914031367e-05,0.002542764678686858,0.0,False,0.0918460349808254,0.3875441814683907,True,0.20097683921673903,True,True,True
